"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2017","AQS","245100040","1","35.2","ppb","33","Oldtown","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.297733","-76.604603"
"01/02/2017","AQS","245100040","1","20.7","ppb","19","Oldtown","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.297733","-76.604603"
"01/05/2017","AQS","245100040","1","30.4","ppb","28","Oldtown","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.297733","-76.604603"
"01/06/2017","AQS","245100040","1","22.3","ppb","21","Oldtown","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.297733","-76.604603"
"01/07/2017","AQS","245100040","1","12","ppb","11","Oldtown","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.297733","-76.604603"
"01/08/2017","AQS","245100040","1","16.7","ppb","15","Oldtown","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.297733","-76.604603"
"01/09/2017","AQS","245100040","1","26.2","ppb","25","Oldtown","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.297733","-76.604603"
"01/10/2017","AQS","245100040","1","28.1","ppb","26","Oldtown","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.297733","-76.604603"
"01/12/2017","AQS","245100040","1","33.6","ppb","31","Oldtown","19","79.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.297733","-76.604603"
"01/14/2017","AQS","245100040","1","21.2","ppb","20","Oldtown","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.297733","-76.604603"
"01/15/2017","AQS","245100040","1","32.9","ppb","30","Oldtown","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.297733","-76.604603"
"01/16/2017","AQS","245100040","1","30.2","ppb","28","Oldtown","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.297733","-76.604603"
