"","Date","Holiday","WeekDay","Month","Day","Year","wind_dir_trig_to_degrees","surface_air_temperature","total_precipitation","surface_wind_speed","to_east","to_west","Daily.Mean.PM2.5.Concentration","Daily.Max.1.hour.NO2.Concentration","holidaybin","Jan1st","month","day","first_day","to_north","Violent","Property"
"1",2014-01-01,"New Year's Day",4,1,1,2014,46.3616948480798,272.229446411133,1.25110118561385e-09,4.3340103328228,1,0,12.4,30.5,1,1,1,1,1,0,52,78
"2",2014-01-02,NA,5,NA,NA,NA,-84.4468789495409,272.735927581787,4.69933887938071e-05,4.55511506398519,0,1,20.9,34.1,0,0,1,2,0,0,32,72
"3",2014-01-03,NA,6,NA,NA,NA,101.144479058876,265.202068328857,8.44215593502895e-05,11.3421996831894,1,0,8.2,24.6,0,0,1,3,0,1,31,38
"4",2014-01-04,NA,7,NA,NA,NA,34.5231742636235,265.782932281494,1.11165213091191e-10,5.28454163173835,1,0,16.3,46.4,0,0,1,4,0,0,38,72
"5",2014-01-05,NA,1,NA,NA,NA,-4.70841395511948,271.286268870036,7.85719298731872e-05,6.09457289179166,0,1,21.5,41.2,0,0,1,5,0,0,34,59
"6",2014-01-06,NA,2,NA,NA,NA,59.6663781910945,275.251862843831,0.000122411965368959,11.0502653121948,1,0,8.8,29,0,0,1,6,0,0,29,81
"7",2014-01-07,NA,3,NA,NA,NA,107.549400095554,257.690249125163,1.01208901999901e-07,11.7165789008141,1,0,5.55,18.2,0,0,1,7,0,1,18,66
"8",2014-01-08,NA,4,NA,NA,NA,76.1760735404147,262.93168258667,4.90106338262612e-11,4.08789694309235,1,0,10.15,38.3,0,0,1,8,0,0,37,72
"9",2014-01-09,NA,5,NA,NA,NA,-44.7794748440022,269.750233968099,1.81384269337554e-06,3.68115466833115,0,1,19.95,38.2,0,0,1,9,0,0,34,85
"10",2014-01-10,NA,6,NA,NA,NA,-57.0572264086137,271.701002756755,3.58272650210638e-05,4.40005082885424,0,1,22.1,32.7,0,0,1,10,0,0,40,90
"11",2014-01-11,NA,7,NA,NA,NA,-0.222057203510185,278.002248128255,0.000408306174601118,8.53343252340952,0,1,9.6,32.8,0,0,1,11,0,0,36,65
"12",2014-01-12,NA,1,NA,NA,NA,107.923724917054,277.363152821859,6.64504947659831e-07,9.21436887979507,1,0,9.1,33.2,0,0,1,12,0,1,49,49
"13",2014-01-13,NA,2,NA,NA,NA,16.0759466345073,276.971204121908,5.62651338038766e-07,5.90849101543427,1,0,16,37,0,0,1,13,0,0,42,76
"14",2014-01-14,NA,3,NA,NA,NA,52.9192152557051,279.691994984945,0.00011170600926802,7.46657259265582,1,0,8.3,39,0,0,1,14,0,0,29,96
"15",2014-01-15,NA,4,NA,NA,NA,64.2893643031298,276.262145996094,2.83875539726826e-06,4.76041380564372,1,0,11.9,30.3,0,0,1,15,0,0,36,85
"16",2014-01-16,NA,5,NA,NA,NA,127.169334414616,272.849057515462,1.59068372305171e-05,5.81659678618113,1,0,12.1,36.4,0,0,1,16,0,1,28,98
"17",2014-01-17,NA,6,NA,NA,NA,1.58681407617095,273.539813995361,2.01839020589715e-07,4.48843356470267,1,0,16.15,31.6,0,0,1,17,0,0,27,100
"18",2014-01-18,NA,7,NA,NA,NA,66.8710787854779,270.600691477458,1.00591710558244e-05,9.16027694940567,1,0,8.75,26.9,0,0,1,18,0,0,26,68
"19",2014-01-19,NA,1,NA,NA,NA,64.8537252415356,270.070331573486,5.05843104958714e-07,6.53134074807167,1,0,8.95,22.8,0,0,1,19,0,0,34,71
"20",2014-01-20,"Martin Luther King, Jr. Day",2,1,20,2014,72.8849705176518,275.431869506836,3.91690450814626e-08,8.35109925270081,1,0,7.35,28.9,1,1,1,20,0,0,34,89
"21",2014-01-21,NA,3,NA,NA,NA,-85.7969452775925,270.18705368042,0.0001929588212685,8.49801417191823,0,1,8.65,24.7,0,0,1,21,0,0,15,55
"22",2014-01-22,NA,4,NA,NA,NA,95.9822411368183,260.202601114909,1.44933305761795e-05,10.9242096741994,1,0,7,28.1,0,0,1,22,0,1,28,68
"23",2014-01-23,NA,5,NA,NA,NA,95.5528899405991,262.661996205648,2.13240392247608e-06,6.22946801781654,1,0,13.15,37,0,0,1,23,0,1,25,70
"24",2014-01-24,NA,6,NA,NA,NA,94.3092639936727,261.20204671224,6.80257949229694e-08,7.80058540900548,1,0,11.75,29.2,0,0,1,24,0,1,23,74
"25",2014-01-25,NA,7,NA,NA,NA,18.3789541119933,265.8738377889,2.64499325274997e-05,9.96454864740372,1,0,9.7,33.1,0,0,1,25,0,0,33,75
"26",2014-01-26,NA,1,NA,NA,NA,71.6809466522814,267.369042714437,3.22466701163648e-06,7.87325328588486,1,0,7.5,36.9,0,0,1,26,0,0,26,76
"27",2014-01-27,NA,2,NA,NA,NA,66.8552699176774,271.54300181071,7.12134339645824e-08,10.3677569230398,1,0,9.2,37.1,0,0,1,27,0,0,34,80
"28",2014-01-28,NA,3,NA,NA,NA,138.864996671421,261.828534444173,1.21554434784343e-06,6.68574137985706,1,0,9.75,15.4,0,0,1,28,0,1,32,56
"29",2014-01-29,NA,4,NA,NA,NA,127.700996527822,261.923011779785,2.16209764926149e-05,6.04196880261103,1,0,12.4,NA,0,0,1,29,0,1,28,66
"30",2014-01-30,NA,5,NA,NA,NA,54.1640001973642,264.433399200439,0,4.50231421738863,1,0,15.25,NA,0,0,1,30,0,0,41,87
"31",2014-01-31,NA,6,NA,NA,NA,40.9358869104106,270.246246337891,3.02267328369146e-08,4.48561856895685,1,0,26.5,NA,0,0,1,31,0,0,46,76
"32",2014-02-01,NA,7,NA,NA,NA,-22.7578430024364,274.862758636475,2.46426258406574e-10,4.58490168551604,0,1,28,50.2,0,0,2,1,1,0,27,87
"33",2014-02-02,NA,1,NA,NA,NA,59.3383773429913,276.722534179688,5.02929850654255e-07,4.55323416988055,1,0,31.65,53.9,0,0,2,2,0,0,46,55
"34",2014-02-03,NA,2,NA,NA,NA,-80.1737875717316,274.34953435262,0.000412595146523624,8.23068416118622,0,1,12.2,NA,0,0,2,3,0,0,41,54
"35",2014-02-04,NA,3,NA,NA,NA,-136.522235245032,268.704582214355,1.45325962913641e-09,5.23006655772527,0,1,17,NA,0,0,2,4,0,1,28,74
"36",2014-02-05,NA,4,NA,NA,NA,-35.6847207445682,271.808925628662,0.000256044564498126,5.60352762540181,0,1,8.3,NA,0,0,2,5,0,0,21,75
"37",2014-02-06,NA,5,NA,NA,NA,142.894261227207,268.694754282633,1.94104245565541e-07,8.02238264679909,1,0,9.65,40.8,0,0,2,6,0,1,25,63
"38",2014-02-07,NA,6,NA,NA,NA,114.856641294645,269.526499430339,2.21910833412646e-08,4.72311367591222,1,0,16,NA,0,0,2,7,0,1,31,82
"39",2014-02-08,NA,7,NA,NA,NA,35.8055924058382,266.549121856689,6.7369396554671e-06,4.16274309158325,1,0,17.3,NA,0,0,2,8,0,0,35,70
"40",2014-02-09,NA,1,NA,NA,NA,-24.0545964607773,267.591320037842,4.00860044464935e-05,3.5445944716533,0,1,28.95,NA,0,0,2,9,0,0,27,48
"41",2014-02-10,NA,2,NA,NA,NA,139.359446921784,267.050055185954,3.48468878049365e-06,6.87562040487925,1,0,21.8,NA,0,0,2,10,0,1,25,68
"42",2014-02-11,NA,3,NA,NA,NA,157.410300738241,263.953276316325,1.60149625116901e-07,6.17753719290098,1,0,23.3,NA,0,0,2,11,0,1,31,69
"43",2014-02-12,NA,4,NA,NA,NA,-127.549126557923,262.420111338298,5.97324710064721e-08,5.93294989069303,0,1,16.6,NA,0,0,2,12,0,1,21,76
"44",2014-02-13,NA,5,NA,NA,NA,-124.386526191801,268.837969462077,0.000370627890030543,10.8574774265289,0,1,5.4,23.3,0,0,2,13,0,1,19,22
"45",2014-02-14,"Valentine’s Day",6,2,14,2014,101.810838675519,272.863505045573,4.08905942966589e-05,10.2620540261269,1,0,16.5,61.6,1,1,2,14,0,1,21,44
"46",2014-02-15,NA,7,NA,NA,NA,-26.1174396534949,272.119700113932,0.00010593649974074,9.19210995237033,0,1,19.9,51.2,0,0,2,15,0,0,37,56
"47",2014-02-16,NA,1,NA,NA,NA,123.008782912566,267.462153116862,6.83042311777626e-06,6.96178114414215,1,0,15.7,15.6,0,0,2,16,0,1,17,59
